４文字集合	可能な４文字単語
げつねん	年月（ねんげつ）
げつはん	発言
げつまん	満月
げつめん	幻滅
げてみや	手土産
げてんん	原点:減点
げなまる	丸投げ
げなやり	投げやり
げにんん	人間
げはんん	半減
げもんん	門限
げろんん	言論
ここつの	九つ
ここみろ	試み
こごちね	寝心地
こごのろ	このごろ
こさじん	個人差
こさっん	昨今（さっこん）
こざつん	混雑
こざとわ	ことわざ
こししと	年越し
こしそな	底なし
こしそん	心底・真底（しんそこ）:心底（しんそこ）
こしちも	持ち越し
こしっは	端（はし）っこ
こしっひ	引っ越し
こしりん	シリコン
こしんん	新婚
こじたね	猫舌
こじもよ	横文字
こすすも	コスモス
こすっみ	隅っこ
こすまみ	マスコミ
こずみれ	ずれ込み
こせっつ	骨折
こぜつん	根絶
こそだて	子育て
こそのろ	そのころ
こそぱん	パソコン
こたてよ	縦横（たてよこ）
こたのび	この度（たび）
こだてん	献立
こだりわ	こだわり
こちにん	今日（こんにち）
こちみも	持ち込み
こっつみ	突っ込み
こっとん	コットン
こっなれ	慣れっこ
こっひみ	引っ込み
こつづみ	小包
こつぶめ	米粒
こつぽん	ぽんこつ
こつみみ	積み込み
こつみめ	詰め込み
こでまれ	これまで
こととひ	一言（ひとこと）
ことなり	異なり
ことのひ	この人
ことぶり	小太り
ことみり	取り込み
ことめん	コメント
ことりわ	ことわり:断り
こどのほ	このほど
こどみろ	見どころ
こどより	横取り
こなんん	困難
こにびん	コンビニ
こねのら	野良猫
このへん	この辺
このみみ	飲み込み
こはばよ	横幅
こばんん	今晩
こひんん	貧困
こびよろ	喜び
こふみり	振り込み
こぽんん	根本
こみりわ	割り込み
こもりん	リモコン
こやより	横やり
こらんん	混乱
これんん	れんこん
ごしとろ	年ごろ
ごしまろ	白ごま
ごすまり	ごますり
ごととひ	ひと事
ごとなに	何事
ごとのも	物事
ごとひみ	人込み
ごとみり	ごみ取り
ごとめも	もめ事
ごなまみ	生ごみ
ごにほん	日本語
ささしび	寂しさ
ささしや	優しさ
さしした	親しさ
さししだ	差し出し
さしすず	涼しさ
さしっん	刷新
さしつん	診察
さしとめ	差し止め
さじはん	茶飯事
させんー	センサー
さぜんん	三千
さたつば	札束
さたつめ	冷たさ
さたねむ	眠たさ
さたんん	単三:炭酸
さだるん	サンダル
さちへん	偏差値
さちりー	リサーチ
さっにん	日産
さっはん	発散
さっまら	まっさら
さとふる	ふるさと
さなまみ	皆様
さなみん	皆さん
さねんん	三年
さはめる	春雨（はるさめ）
さぶんん	三分:分散
さぷるん	サンプル
さまんん	三万
さらんん	散乱
さりんん	山林
ざしたん	足し算
ざしまめ	目覚まし
ざてりわ	手触り
ざりわん	割り算
ししたと	年下
ししたみ	親しみ
ししっん	湿疹
ししつゅ	支出
ししつん	寝室
ししゃん	写真:新車
ししゅん	新種
ししょん	初心
ししんん	心身:心身・身心
しじつむ	事務室
しじつり	支持率
しじつん	真実
しじむる	無印
しじめる	目印
しじやる	矢印
しじんん	人身:新人
しすてむ	システム
しせつょ	所説:諸説
しせつん	新設:親切
しせとの	年の瀬
しせゃん	洗車:車線
しせゅん	選手
しせょん	初戦・緒戦（しょせん）
しせよわ	しわ寄せ
しぜんん	全身:前進
しそつん	損失:新卒
しそみる	みそ汁
しぞほら	星空
したづみ	下積み
したてわ	手渡し
したどり	下取り
したなみ	たしなみ
したねも	下ねた
したのみ	楽しみ
したみゅ	多趣味
したょん	短所
したんん	単身
しだちも	持ち出し
しだとり	取り出し
しだのも	出し物
しだはみ	はみ出し
しだふり	振り出し
しだんん	診断
しちにょ	初日（しょにち）
しちぬも	持ち主
しちゃん	新茶
しっつみ	密室
しってん	失点
しっとん	突進
しっはん	発信:発疹:発進
しっまろ	真っ白
しつねん	失念
しつひん	品質
しつふん	紛失
しつほん	本質
しつまん	満室
しつもょ	書物
しつもん	質問
しつゅゆ	輸出
しつゅろ	露出
しつりん	隣室
しつれん	失恋
してなば	手放し
してなも	もてなし
してまわ	手回し
してゅん	店主
してょん	書店
してんん	進展
しとはん	半年（はんとし）
しとより	年寄り
しとれー	レシート
しどなに	何年（なにどし）
しなのも	品物
しなもん	シナモン
しにゅん	主任
しにょん	初任
しにんん	妊娠
しねまわ	根回し
しねょん	年初
しねんん	信念:新年
しのみろ	飲み代
しのもる	汁物
しはぶら	歯ブラシ
しはみら	見晴らし
しはゃん	反射
しはんん	半身（はんしん）:阪神
しばめん	晩飯
しばりわ	割りばし
しぱむん	蒸しパン
しぱんん	審判:審判［〜員］
しひめる	昼飯（ひるめし）
しひゅん	品種
しぴんん	新品
しぶんん	分身:新聞
しへんん	変身:返信
しほゃん	本社
しほんん	本心
しぼまろ	幻
しぼるん	シンボル
しまゃん	満車
しまりわ	割り増し
しまんー	マシーン
しみむゅ	無趣味
しみょん	庶民
しむよわ	弱虫
しめょん	書面
しもんん	問診
しりんん	森林
じすちみ	筋道:道筋
じすとひ	一筋
じせつん	先日
じせんん	人選
じたつん	達人
じつつま	つじつま:つじつま［〜を合わせる］:末日
じつほん	本日
じつれん	連日
じとまり	戸締まり
じとるん	豚汁
じにはや	早死に
じにんん	にんじん
じはまり	始まり
じはみめ	見始め［〜の見納め］
じふりん	理不尽
じへんん	変人
じまりわ	交わり
じまれん	ジレンマ
じりんん	隣人
すすたん	スタンス
すすとれ	ストレス
すせぷろ	プロセス
すせるー	セールス
すぜんん	寸前
すたっふ	スタッフ
すたとー	スタート
すたどん	スタンド
すたなみ	スタミナ
すたぷん	スタンプ
すたまー	マスター
すちむー	スチーム
すちゃん	チャンス
すちるー	スチール
すっとぬ	盗人（ぬすっと）
すっれん	レッスン
すてぱる	パステル
すてびよ	呼び捨て
すでるん	留守電
すととー	トースト
すとびろ	ビストロ
すとらり	リストラ［リストラクチャリング］
すとろー	ストロー
すとわー	ワースト
すどれわ	度忘れ
すなはま	砂浜
すののも	酢の物
すのもや	安物
すばらん	バランス
すばるん	留守番
すふらん	フランス
すぷれろ	プロレス
すぼみん	凡ミス
すりりー	リリース
ずせろん	路線図
ずたにん	多人数（たにんず）
ずたまみ	水玉:水玉［〜模様］
ずなはみ	鼻水
ずのみみ	飲み水
ずみもれ	水漏れ
ずみやり	水やり
ずみりわ	水割り
せせっん	接戦
せぜんん	前線
せそっん	率先
せそつの	その節
せたもれ	背もたれ
せたんん	先端
せたんー	センター
せだつん	切断
せってん	接点
せっとり	リセット
せつつり	設立
せつでん	伝説:節電
せつぱん	洗髪
せつぶん	節分
せつべん	選別
せつりん	釣り銭:隣接
せてんん	点線
せでんん	伝染:宣伝
せとめん	セメント
せともん	元栓
せとより	取り寄せ
せなみー	セミナー
せにのも	偽物（にせもの）:偽者（にせもの）
せにんん	専任
せねんん	専念
せはばよ	幅寄せ
せはろん	セロハン
せみみん	耳栓
せめんん	洗面
せもんん	専門
せれんん	洗練
ぜつつめ	絶滅
ぜつひん	必然
ぜつめん	全滅
ぜつれん	前列
ぜてんん	全店
ぜなんん	何千
ぜにんん	前任:善人
ぜねんん	前年
ぜのまも	混ぜ物
ぜはんん	前半
ぜめんん	全面:前面
ぜもんん	全問
そそもも	そもそも
そぞれれ	それぞれ
そつばゆ	そばつゆ
そづとら	外面（そとづら）
そではん	半そで
そとのひ	その人
そなりれ	それなり
そののも	そのもの
そのぶん	その分
そのへん	その辺
そのもよ	よそ者
そまらん	マラソン
ぞつなら	夏空
ぞなのは	花園
たたなば	七夕
たたふま	二また
ただへり	隔たり
たちなり	成り立ち
たちばみ	道端
たちみよ	立ち読み
たっつは	発達
たっはり	はったり
たっほん	発端
たっまん	末端
たつてみ	積み立て
たつでん	伝達
たつぱん	単発:短髪
たつまん	端末
たてのも	建物
たでめら	でたらめ
たとるー	トータル
たとれん	タレント
たなはば	花束
たなびふ	船旅
たにもー	モニター
たにんん	担任
たのべも	食べ物
たばまり	たまり場
たぱんん	短パン
たびみん	ビタミン
たぴんん	単品
たぶんん	ぶんたん:分担:短文
たまんん	満タン
たるれん	レンタル
たれんん	鍛練・鍛錬
たわんん	ワンタン
だちとも	友達
だつとん	断トツ
だつねん	断熱
だてひり	左手
だとはり	鳥肌
だなほん	本棚
だねんん	断念
だはんん	判断
だまりん	だんまり
だむらん	ランダム
だめんん	断面:面談
だらんん	だんらん
ちちのの	後後（のちのち）
ちちのひ	父の日
ちちはは	父母（ちちはは）
ちつにぼ	日没
ちつはみ	はちみつ
ちつぼん	沈没
ちつれん	陳列
ちなにん	何日
ちなはみ	花道（はなみち）
ちにはん	半日
ちのみり	道のり
ちのもも	持ち物:物持ち
ちはもら	腹持ち
ちふもー	モチーフ
ちみより	寄り道
ちゃわん	茶わん
ってはん	発展
っとにゆ	ユニット
っとのり	乗っ取り
っとみり	リミット
っとめり	メリット
っとりる	リットル
つつねは	発熱
つてなば	夏ばて
つてにも	手荷物
つてぶん	鉄分
つてまん	てんまつ
つてめん	点滅
つではん	発電
つなのも	夏物
つなびま	真夏日
つねまん	年末
つのはも	初物
つのべも	別物
つのめも	詰め物
つのもわ	つわもの
つはぱん	反発
つはべん	判別
つはみみ	初耳
つぱひん	頻発
つぱふん	奮発
つぱれん	連発
つふべん	分別（ふんべつ）
つふまん	粉末
つふるー	フルーツ
つぶまめ	豆粒
つぶれん	分裂
つみもり	見積もり
づてとひ	人づて
づまみや	山積み
づまめり	目詰まり
てとなん	テナント
てどんん	天どん
てなんん	難点
てねんん	天然
てのひら	手の平（ひら）
てひまま	手間暇
てぷらん	テンプラ
てべらん	ベテラン
てほんん	本店
てまんん	満点
てろんん	論点
ととひび	人人（ひとびと）
とともも	元元（もともと）
ととるれ	レトルト
とどほん	ほとんど
となひみ	人並み
となみも	源
とねまり	寝泊まり
とねるん	トンネル
とばひん	一晩
とひみり	ひとり身
とびむら	村人
とふもも	太もも
とふろん	フロント
とぶらる	トラブル
とぷらん	トランプ
とぷりん	プリント
とままり	まとまり
とみみも	耳もと
とめやり	取りやめ
とめるー	メートル
とやりり	やり取り
どぬまろ	泥沼:泥沼［〜にはまる］
どのへん	どの辺
どのほみ	身の程
どはるん	ハンドル
どろんん	ロンドン
なにのも	何者
なにんん	何人（なんにん）
なねんん	何年（なんねん）
なのべも	なべ物
なのまも	生物（なまもの）
なはびら	歯並び:花びら
なべんん	軟便
なまんん	何万
なもんん	難問
ならんー	ランナー
にはんん	犯人
にばんん	万人（ばんにん）
にほんん	本人
にめらん	メラニン
ぬまゆる	ぬるま湯
ねのまも	物まね
ねのもり	練り物
ねほんん	本年
ねまりん	マンネリ
ののみも	飲み物
ののもり	乗り物
のははひ	母の日
のふもゆ	冬物
のほもん	本物
のみもよ	読み物
のもるわ	悪者
のもれわ	割れ物
ははんん	半半
はばやん	早番
はびりり	リハビリ
はぶんん	半分
はめりり	めりはり
はめんん	反面
はろんん	反論
ばほんん	本番
ひびよん	予備品
ひびれわ	ひび割れ
ひまりわ	ひまわり
びふまゆ	真冬日
ぴへんん	返品
ふまらー	マフラー
ふむれー	フレーム
ふらわー	フラワー
ぶほりん	本降り
ぶほんん	本文（ほんぶん）
ぶめんん	文面
ぺほんん	本編
ほもるん	ホルモン
まめんん	満面
まもやり	山盛り
まりりわ	利回り
めもりー	メモリー
めらんー	ラーメン
ももやや	もやもや
ももろろ	もろもろ
よりんん	四輪
わわんん	わんわん
